TRACE_SEQUENCE_LINE,TRACE_SEQUENCE_FILE,FieldRecord,TraceNumber,EnergySourcePoint,CDP,CDP_TRACE,TraceIdentificationCode,NSummedTraces,NStackedTraces,DataUse,offset,ReceiverGroupElevation,SourceSurfaceElevation,SourceDepth,ReceiverDatumElevation,SourceDatumElevation,SourceWaterDepth,GroupWaterDepth,ElevationScalar,SourceGroupScalar,SourceX,SourceY,GroupX,GroupY,CoordinateUnits,WeatheringVelocity,SubWeatheringVelocity,SourceUpholeTime,GroupUpholeTime,SourceStaticCorrection,GroupStaticCorrection,TotalStaticApplied,LagTimeA,LagTimeB,DelayRecordingTime,MuteTimeStart,MuteTimeEND,TRACE_SAMPLE_COUNT,TRACE_SAMPLE_INTERVAL,GainType,InstrumentGainConstant,InstrumentInitialGain,Correlated,SweepFrequencyStart,SweepFrequencyEnd,SweepLength,SweepType,SweepTraceTaperLengthStart,SweepTraceTaperLengthEnd,TaperType,AliasFilterFrequency,AliasFilterSlope,NotchFilterFrequency,NotchFilterSlope,LowCutFrequency,HighCutFrequency,LowCutSlope,HighCutSlope,YearDataRecorded,DayOfYear,HourOfDay,MinuteOfHour,SecondOfMinute,TimeBaseCode,TraceWeightingFactor,GeophoneGroupNumberRoll1,GeophoneGroupNumberFirstTraceOrigField,GeophoneGroupNumberLastTraceOrigField,GapSize,OverTravel,CDP_X,CDP_Y,INLINE_3D,CROSSLINE_3D,ShotPoint,ShotPointScalar,TraceValueMeasurementUnit,TransductionConstantMantissa,TransductionConstantPower,TransductionUnit,TraceIdentifier,ScalarTraceHeader,SourceType,SourceEnergyDirectionMantissa,SourceEnergyDirectionExponent,SourceMeasurementMantissa,SourceMeasurementExponent,SourceMeasurementUnit,UnassignedInt1,UnassignedInt2,i,j
26,26,1700,192,1700,1325,1325,1,42,0,0,0,0,0,0,0,0,0,0,1,1,2250559,65019,2250559,65019,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250559,65019,1700,1325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
27,27,1700,193,1700,1326,1326,1,41,0,0,0,0,0,0,0,0,0,0,1,1,2250560,65129,2250560,65129,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250560,65129,1700,1326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
28,28,1700,3,1700,1327,1327,1,41,0,0,0,0,0,0,0,0,0,0,1,1,2250560,65239,2250560,65239,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250560,65239,1700,1327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
29,29,1700,1992,1700,1328,1328,1,43,0,0,0,0,0,0,0,0,0,0,1,1,2250560,65349,2250560,65349,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250560,65349,1700,1328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
30,30,1700,1991,1700,1329,1329,1,43,0,0,0,0,0,0,0,0,0,0,1,1,2250560,65459,2250560,65459,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250560,65459,1700,1329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
31,31,1700,1993,1700,1330,1330,1,44,0,0,0,0,0,0,0,0,0,0,1,1,2250560,65569,2250560,65569,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250560,65569,1700,1330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
32,32,1700,95,1700,1331,1331,1,46,0,0,0,0,0,0,0,0,0,0,1,1,2250560,65679,2250560,65679,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250560,65679,1700,1331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
33,33,1700,95,1700,1332,1332,1,45,0,0,0,0,0,0,0,0,0,0,1,1,2250560,65789,2250560,65789,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250560,65789,1700,1332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
34,34,1700,96,1700,1333,1333,1,45,0,0,0,0,0,0,0,0,0,0,1,1,2250560,65899,2250560,65899,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250560,65899,1700,1333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
35,35,1700,96,1700,1334,1334,1,46,0,0,0,0,0,0,0,0,0,0,1,1,2250561,66009,2250561,66009,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250561,66009,1700,1334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
36,36,1700,2003,1700,1335,1335,1,45,0,0,0,0,0,0,0,0,0,0,1,1,2250561,66119,2250561,66119,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250561,66119,1700,1335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
37,37,1700,2003,1700,1336,1336,1,44,0,0,0,0,0,0,0,0,0,0,1,1,2250561,66229,2250561,66229,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250561,66229,1700,1336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
38,38,1700,1977,1700,1337,1337,1,42,0,0,0,0,0,0,0,0,0,0,1,1,2250561,66339,2250561,66339,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250561,66339,1700,1337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
39,39,1700,98,1700,1338,1338,1,42,0,0,0,0,0,0,0,0,0,0,1,1,2250561,66449,2250561,66449,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250561,66449,1700,1338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
40,40,1700,98,1700,1339,1339,1,42,0,0,0,0,0,0,0,0,0,0,1,1,2250561,66559,2250561,66559,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250561,66559,1700,1339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
41,41,1700,2010,1700,1340,1340,1,44,0,0,0,0,0,0,0,0,0,0,1,1,2250561,66669,2250561,66669,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250561,66669,1700,1340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
42,42,1700,2010,1700,1341,1341,1,44,0,0,0,0,0,0,0,0,0,0,1,1,2250561,66779,2250561,66779,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250561,66779,1700,1341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
43,43,1700,2012,1700,1342,1342,1,46,0,0,0,0,0,0,0,0,0,0,1,1,2250562,66889,2250562,66889,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250562,66889,1700,1342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
44,44,1700,2012,1700,1343,1343,1,46,0,0,0,0,0,0,0,0,0,0,1,1,2250562,66999,2250562,66999,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250562,66999,1700,1343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
45,45,1700,2015,1700,1344,1344,1,43,0,0,0,0,0,0,0,0,0,0,1,1,2250562,67109,2250562,67109,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250562,67109,1700,1344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
46,46,1700,2016,1700,1345,1345,1,44,0,0,0,0,0,0,0,0,0,0,1,1,2250562,67219,2250562,67219,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250562,67219,1700,1345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
47,47,1700,2016,1700,1346,1346,1,44,0,0,0,0,0,0,0,0,0,0,1,1,2250562,67329,2250562,67329,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250562,67329,1700,1346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
48,48,1700,94,1700,1347,1347,1,42,0,0,0,0,0,0,0,0,0,0,1,1,2250562,67439,2250562,67439,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250562,67439,1700,1347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
49,49,1700,95,1700,1348,1348,1,42,0,0,0,0,0,0,0,0,0,0,1,1,2250562,67549,2250562,67549,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250562,67549,1700,1348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
50,50,1700,96,1700,1349,1349,1,42,0,0,0,0,0,0,0,0,0,0,1,1,2250562,67659,2250562,67659,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250562,67659,1700,1349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
51,51,1700,96,1700,1350,1350,1,41,0,0,0,0,0,0,0,0,0,0,1,1,2250563,67769,2250563,67769,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250563,67769,1700,1350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
52,52,1700,2004,1700,1351,1351,1,40,0,0,0,0,0,0,0,0,0,0,1,1,2250563,67879,2250563,67879,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250563,67879,1700,1351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51
53,53,1700,2004,1700,1352,1352,1,41,0,0,0,0,0,0,0,0,0,0,1,1,2250563,67989,2250563,67989,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250563,67989,1700,1352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
54,54,1700,1990,1700,1353,1353,1,41,0,0,0,0,0,0,0,0,0,0,1,1,2250563,68099,2250563,68099,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250563,68099,1700,1353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
55,55,1700,89,1700,1354,1354,1,41,0,0,0,0,0,0,0,0,0,0,1,1,2250563,68209,2250563,68209,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250563,68209,1700,1354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54
56,56,1700,89,1700,1355,1355,1,41,0,0,0,0,0,0,0,0,0,0,1,1,2250563,68319,2250563,68319,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250563,68319,1700,1355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
57,57,1700,1,1700,1356,1356,1,44,0,0,0,0,0,0,0,0,0,0,1,1,2250563,68429,2250563,68429,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250563,68429,1700,1356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56
58,58,1700,2,1700,1357,1357,1,45,0,0,0,0,0,0,0,0,0,0,1,1,2250564,68539,2250564,68539,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250564,68539,1700,1357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57
59,59,1700,2,1700,1358,1358,1,45,0,0,0,0,0,0,0,0,0,0,1,1,2250564,68649,2250564,68649,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250564,68649,1700,1358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58
